pair,slot,algorithm,our_cost,nx_cost,verdict
0,07:30,ucs,565.178250,565.178250,PASS
0,07:30,astar,565.178250,565.178250,PASS
1,07:30,ucs,885.413250,885.413250,PASS
1,07:30,astar,885.413250,885.413250,PASS
2,07:30,ucs,678.729179,678.729179,PASS
2,07:30,astar,678.729179,678.729179,PASS
3,07:30,ucs,566.723643,566.723643,PASS
3,07:30,astar,566.723643,566.723643,PASS
4,07:30,ucs,494.761500,494.761500,PASS
4,07:30,astar,494.761500,494.761500,PASS
5,07:30,ucs,539.552036,539.552036,PASS
5,07:30,astar,539.552036,539.552036,PASS
6,07:30,ucs,500.089643,500.089643,PASS
6,07:30,astar,500.089643,500.089643,PASS
7,07:30,ucs,463.450750,463.450750,PASS
7,07:30,astar,463.450750,463.450750,PASS
8,07:30,ucs,557.913446,557.913446,PASS
8,07:30,astar,557.913446,557.913446,PASS
9,07:30,ucs,611.978500,611.978500,PASS
9,07:30,astar,611.978500,611.978500,PASS
10,07:30,ucs,294.899857,294.899857,PASS
10,07:30,astar,294.899857,294.899857,PASS
11,07:30,ucs,735.257018,735.257018,PASS
11,07:30,astar,735.257018,735.257018,PASS
12,07:30,ucs,342.394214,342.394214,PASS
12,07:30,astar,342.394214,342.394214,PASS
13,07:30,ucs,516.280286,516.280286,PASS
13,07:30,astar,516.280286,516.280286,PASS
14,07:30,ucs,686.591750,686.591750,PASS
14,07:30,astar,686.591750,686.591750,PASS
15,07:30,ucs,994.401500,994.401500,PASS
15,07:30,astar,994.401500,994.401500,PASS
16,07:30,ucs,496.346732,496.346732,PASS
16,07:30,astar,496.346732,496.346732,PASS
17,07:30,ucs,486.658286,486.658286,PASS
17,07:30,astar,486.658286,486.658286,PASS
18,07:30,ucs,784.541393,784.541393,PASS
18,07:30,astar,784.541393,784.541393,PASS
19,07:30,ucs,727.054821,727.054821,PASS
19,07:30,astar,727.054821,727.054821,PASS
20,07:30,ucs,562.608643,562.608643,PASS
20,07:30,astar,562.608643,562.608643,PASS
21,07:30,ucs,782.136982,782.136982,PASS
21,07:30,astar,782.136982,782.136982,PASS
22,07:30,ucs,747.309643,747.309643,PASS
22,07:30,astar,747.309643,747.309643,PASS
23,07:30,ucs,1032.533679,1032.533679,PASS
23,07:30,astar,1032.533679,1032.533679,PASS
24,07:30,ucs,590.311482,590.311482,PASS
24,07:30,astar,590.311482,590.311482,PASS
25,07:30,ucs,394.758179,394.758179,PASS
25,07:30,astar,394.758179,394.758179,PASS
26,07:30,ucs,1102.641232,1102.641232,PASS
26,07:30,astar,1102.641232,1102.641232,PASS
27,07:30,ucs,494.372357,494.372357,PASS
27,07:30,astar,494.372357,494.372357,PASS
28,07:30,ucs,834.317536,834.317536,PASS
28,07:30,astar,834.317536,834.317536,PASS
29,07:30,ucs,846.383232,846.383232,PASS
29,07:30,astar,846.383232,846.383232,PASS
30,07:30,ucs,692.700696,692.700696,PASS
30,07:30,astar,692.700696,692.700696,PASS
31,07:30,ucs,568.252714,568.252714,PASS
31,07:30,astar,568.252714,568.252714,PASS
32,07:30,ucs,618.592571,618.592571,PASS
32,07:30,astar,618.592571,618.592571,PASS
33,07:30,ucs,798.690250,798.690250,PASS
33,07:30,astar,798.690250,798.690250,PASS
34,07:30,ucs,545.079625,545.079625,PASS
34,07:30,astar,545.079625,545.079625,PASS
35,07:30,ucs,607.443982,607.443982,PASS
35,07:30,astar,607.443982,607.443982,PASS
36,07:30,ucs,246.208500,246.208500,PASS
36,07:30,astar,246.208500,246.208500,PASS
37,07:30,ucs,581.837000,581.837000,PASS
37,07:30,astar,581.837000,581.837000,PASS
38,07:30,ucs,896.647196,896.647196,PASS
38,07:30,astar,896.647196,896.647196,PASS
39,07:30,ucs,789.475643,789.475643,PASS
39,07:30,astar,789.475643,789.475643,PASS
40,07:30,ucs,446.987000,446.987000,PASS
40,07:30,astar,446.987000,446.987000,PASS
41,07:30,ucs,572.743607,572.743607,PASS
41,07:30,astar,572.743607,572.743607,PASS
42,07:30,ucs,857.954286,857.954286,PASS
42,07:30,astar,857.954286,857.954286,PASS
43,07:30,ucs,466.078625,466.078625,PASS
43,07:30,astar,466.078625,466.078625,PASS
44,07:30,ucs,838.482375,838.482375,PASS
44,07:30,astar,838.482375,838.482375,PASS
45,07:30,ucs,863.881018,863.881018,PASS
45,07:30,astar,863.881018,863.881018,PASS
46,07:30,ucs,854.502411,854.502411,PASS
46,07:30,astar,854.502411,854.502411,PASS
47,07:30,ucs,630.996625,630.996625,PASS
47,07:30,astar,630.996625,630.996625,PASS
48,07:30,ucs,852.035000,852.035000,PASS
48,07:30,astar,852.035000,852.035000,PASS
49,07:30,ucs,1089.547482,1089.547482,PASS
49,07:30,astar,1089.547482,1089.547482,PASS
50,07:30,ucs,327.299214,327.299214,PASS
50,07:30,astar,327.299214,327.299214,PASS
51,07:30,ucs,273.250000,273.250000,PASS
51,07:30,astar,273.250000,273.250000,PASS
52,07:30,ucs,515.086000,515.086000,PASS
52,07:30,astar,515.086000,515.086000,PASS
53,07:30,ucs,261.803750,261.803750,PASS
53,07:30,astar,261.803750,261.803750,PASS
54,07:30,ucs,424.613625,424.613625,PASS
54,07:30,astar,424.613625,424.613625,PASS
55,07:30,ucs,678.915893,678.915893,PASS
55,07:30,astar,678.915893,678.915893,PASS
56,07:30,ucs,643.412839,643.412839,PASS
56,07:30,astar,643.412839,643.412839,PASS
57,07:30,ucs,813.136643,813.136643,PASS
57,07:30,astar,813.136643,813.136643,PASS
58,07:30,ucs,691.212857,691.212857,PASS
58,07:30,astar,691.212857,691.212857,PASS
59,07:30,ucs,688.497214,688.497214,PASS
59,07:30,astar,688.497214,688.497214,PASS
60,07:30,ucs,506.769000,506.769000,PASS
60,07:30,astar,506.769000,506.769000,PASS
61,07:30,ucs,512.455071,512.455071,PASS
61,07:30,astar,512.455071,512.455071,PASS
62,07:30,ucs,762.266875,762.266875,PASS
62,07:30,astar,762.266875,762.266875,PASS
63,07:30,ucs,581.198482,581.198482,PASS
63,07:30,astar,581.198482,581.198482,PASS
64,07:30,ucs,922.939589,922.939589,PASS
64,07:30,astar,922.939589,922.939589,PASS
65,07:30,ucs,674.690161,674.690161,PASS
65,07:30,astar,674.690161,674.690161,PASS
