pair,start,goal,route_changed,time_s_0730,time_s_2200,dist_m_0730,dist_m_2200
0,n0457,n0103,1,565.2,357.7,2685.2,2656.1
1,n1127,n1004,1,885.4,561.7,4346.8,4381.7
2,n0915,n0572,1,678.7,464.6,4770.8,4781.0
3,n0420,n0357,1,566.7,401.2,2914.7,3014.7
4,n1729,n0131,1,494.8,401.0,3597.3,3698.4
5,n0896,n0953,1,539.6,395.9,3136.4,3628.2
6,n2070,n0109,1,500.1,400.6,1765.1,2789.8
7,n0815,n1719,1,463.5,441.2,3973.1,4023.5
8,n0903,n1840,1,557.9,365.8,3414.9,3421.5
9,n1140,n0027,1,612.0,479.7,4856.6,4844.5
10,n0654,n1732,0,294.9,265.1,2343.8,2343.8
11,n1379,n0419,1,735.3,537.1,4014.1,3973.5
12,n0380,n1557,1,342.4,257.9,1946.3,2226.2
13,n0397,n1471,0,516.3,404.1,3716.3,3716.3
14,n1409,n1084,0,686.6,507.7,5061.2,5061.2
15,n0178,n1882,1,994.4,636.8,5634.3,5726.2
16,n0512,n1551,1,496.3,402.6,2731.8,3462.0
17,n0323,n1201,1,486.7,347.4,2174.2,2176.5
18,n1482,n0788,1,784.5,574.6,3768.7,4388.7
19,n0285,n0188,1,727.1,479.1,2596.4,2916.8
20,n0934,n1186,1,562.6,394.7,3542.9,3717.5
21,n0327,n0954,1,782.1,501.5,4245.5,4287.4
22,n0414,n1557,1,747.3,580.8,4881.1,5445.1
23,n1139,n1858,1,1032.5,765.8,6384.6,6933.6
24,n1495,n0667,1,590.3,409.4,3587.3,3339.0
25,n1517,n1456,0,394.8,315.3,1631.1,1631.1
26,n0859,n1094,1,1102.6,790.4,5050.8,5758.7
27,n0293,n0701,1,494.4,366.1,2988.4,2936.2
28,n1003,n0670,1,834.3,613.4,3919.4,4578.4
29,n1894,n1555,1,846.4,538.7,4655.3,4783.2
30,n1329,n0230,1,692.7,407.2,4206.7,3941.1
31,n1293,n1644,1,568.3,380.4,2802.8,2793.6
32,n0865,n1289,0,618.6,432.6,2609.3,2609.3
33,n0871,n2045,1,798.7,551.3,4491.3,4509.3
34,n1621,n1880,1,545.1,310.9,2325.1,2796.0
35,n0586,n1085,1,607.4,442.9,4274.0,4351.9
36,n0572,n1011,0,246.2,194.0,1423.3,1423.3
37,n0899,n0567,0,581.8,393.8,4274.8,4274.8
38,n2088,n2022,1,896.6,601.9,4444.2,4400.5
39,n0450,n0627,1,789.5,562.2,5073.2,4816.7
40,n0656,n1730,0,447.0,337.2,3479.6,3479.6
41,n0261,n1577,0,572.7,391.0,2798.9,2798.9
42,n1564,n1918,1,858.0,555.0,5748.4,5722.2
43,n1030,n0048,1,466.1,418.8,3929.2,3999.6
44,n0470,n1093,1,838.5,573.4,4243.3,4328.2
45,n1394,n0457,1,863.9,600.8,5325.0,5860.1
46,n1203,n1781,1,854.5,592.6,5535.7,5566.4
47,n0648,n1859,1,631.0,436.2,4325.8,4329.1
48,n0014,n1079,1,852.0,645.2,5389.1,5669.4
49,n2051,n0732,0,1089.5,751.6,5961.2,5961.2
50,n2080,n0436,1,327.3,240.1,2085.7,2056.0
51,n1223,n2080,1,273.2,182.4,1675.3,1675.7
52,n0815,n0627,0,515.1,387.6,4086.7,4086.7
53,n1532,n0662,0,261.8,178.1,1844.6,1844.6
54,n0003,n1328,0,424.6,303.8,2428.6,2428.6
55,n2002,n0080,1,678.9,480.3,3127.7,3918.1
56,n0459,n1487,0,643.4,501.2,3873.4,3873.4
57,n1260,n0981,0,813.1,551.7,3922.2,3922.2
58,n0238,n0987,0,691.2,440.9,3541.7,3541.7
59,n0323,n0351,1,688.5,486.1,3505.2,3835.9
60,n1991,n0284,1,506.8,338.3,2284.9,2295.3
61,n0516,n0526,1,512.5,333.2,2573.4,2551.1
62,n1947,n0677,0,762.3,503.7,4505.7,4505.7
63,n1086,n1734,1,581.2,442.6,4307.1,4360.3
64,n0868,n0824,0,922.9,605.5,4284.7,4284.7
65,n1277,n1635,0,674.7,442.9,3615.7,3615.7
66,n1530,n1795,1,956.8,679.0,5152.8,5768.2
67,n1850,n0496,1,834.6,579.8,4317.2,4759.7
68,n1016,n0921,1,929.9,639.2,5767.6,5778.4
69,n0263,n1385,1,849.8,570.4,4471.7,4411.9
70,n0903,n0030,1,731.9,520.6,5187.0,5192.0
71,n0291,n0242,0,439.6,284.7,2165.6,2165.6
72,n0129,n1354,0,984.3,644.7,5377.0,5377.0
73,n0291,n2106,1,772.1,516.6,4357.7,4480.2
74,n0975,n1141,1,1158.4,823.3,7098.7,6640.6
75,n1989,n0878,1,776.9,577.9,4926.4,5774.5
76,n0542,n1937,1,574.6,403.6,2883.1,2965.1
77,n0996,n1938,1,400.4,259.9,2197.6,2262.1
78,n0387,n0398,1,588.8,413.0,2660.8,3063.2
79,n1735,n1684,1,388.0,333.0,3154.9,3136.1
80,n0404,n0249,1,583.1,381.2,2971.7,3006.6
81,n1650,n1390,1,918.4,581.5,4402.9,4742.8
82,n0448,n1019,1,707.2,463.9,3518.6,3553.5
83,n0785,n0780,1,429.0,350.4,3369.8,3357.7
84,n1838,n0575,1,748.1,518.6,5293.8,5238.0
85,n1729,n0752,1,402.5,368.9,3556.2,3845.5
86,n1141,n1895,1,466.0,390.3,3715.7,3703.6
87,n1024,n0309,1,717.3,523.4,3835.0,4240.2
88,n1816,n0402,0,627.4,404.5,4095.2,4095.2
89,n0383,n0969,0,245.5,160.1,1632.9,1632.9
90,n0682,n1665,0,371.7,298.9,2267.9,2267.9
91,n1990,n1972,0,363.0,310.0,3258.8,3258.8
92,n0876,n1643,0,691.5,457.0,3134.4,3134.4
93,n0241,n0675,1,902.8,621.6,4968.5,5144.6
94,n1553,n0009,1,705.1,500.7,5172.2,5142.0
95,n1864,n1169,1,718.6,505.2,5057.1,5012.5
96,n0635,n0778,1,720.0,539.9,5314.0,5488.5
97,n1216,n0892,1,883.1,628.5,4963.8,5524.9
98,n1285,n0235,0,458.3,241.3,2472.0,2472.0
99,n0206,n1953,1,571.0,422.9,3852.5,3951.3
100,n2060,n0645,0,682.0,493.6,4402.4,4402.4
101,n0329,n0762,1,1037.7,740.1,5942.8,5649.9
102,n0492,n1009,1,799.5,543.5,3955.8,4478.9
103,n0163,n0336,1,501.2,311.2,2790.5,2840.6
104,n1718,n1296,0,641.6,489.4,4546.8,4546.8
105,n1287,n0978,0,697.6,460.5,4596.8,4596.8
106,n1088,n1622,1,685.2,527.5,4704.8,4691.4
107,n0537,n1229,1,900.6,667.4,5374.8,6088.5
108,n1873,n1296,1,621.2,441.7,3733.0,4072.4
109,n0298,n0039,1,764.9,572.8,4245.1,3984.8
110,n1878,n0410,1,402.3,272.0,1889.7,1908.0
111,n0301,n0874,0,749.6,463.9,3967.3,3967.3
112,n2073,n1087,1,808.4,582.8,3995.0,4538.6
113,n0543,n1430,1,733.3,513.5,3179.1,4493.6
114,n0282,n1001,1,689.8,478.8,4513.9,3950.4
115,n0647,n1795,0,739.3,535.2,5032.8,5032.8
116,n1240,n0033,1,427.4,378.8,3613.3,3657.5
117,n1227,n0425,0,472.5,336.7,3471.7,3471.7
118,n0551,n1084,1,888.2,569.6,4918.6,5015.2
119,n0473,n0439,1,547.3,407.0,3565.5,3538.3
120,n1155,n0863,1,574.6,428.4,4015.4,4012.8
121,n1405,n0834,1,594.6,446.7,4146.9,4150.2
122,n1082,n2071,1,957.5,725.5,4408.3,4639.4
123,n1735,n1134,1,392.9,326.9,3097.7,3078.9
124,n0181,n0015,1,425.1,331.1,2904.4,2914.4
125,n1367,n0536,1,406.2,287.2,2267.9,2256.3
126,n1073,n0662,1,620.0,399.2,3232.7,3472.7
127,n1810,n1752,1,719.8,527.6,4846.0,4843.8
128,n0040,n0459,1,772.0,525.1,4321.7,4267.3
129,n0309,n0611,1,771.0,489.5,3668.6,4008.5
130,n0148,n1513,1,986.8,653.2,6217.9,6190.3
